sha1_hash,tlsh,signature
00fc13ddafad890dd718459d783b8ed6e1b5c47d,04343BE25593DB7AE50386377695EFBC307A8C0028115617B99E37EE2F3903C484F69A,Heodo
00b731f03a6cdde4f60dbd6b05c4a5391f022cd4,6881F88935D07A7921328C53CBAF805F79B90854091ED947B2E5FBD12C609EB4B17CD9,NO_SIG
00abdec221e84a67140e2ae239f4c64a9213b211,C6C4E6F227838468CA6B4275057784C2F573228F3DA44D2D75B7EB092D2E3CA56A258F,AgentTesla
001043180ceea175a9de9dc830d89008d0a98099,20F3710916D1994EF33B8E7027D9AAED1856CCF48D9C50633284B6257A37F40E9E1BF8,Heodo
001db13616c4862571f6d67ae6f1720240bf691e,F414E0A2B691D856DB0A07790FE141517F37FC007B91924B32F4B70B1A716BD8E62EE2,AgentTesla
0085f0f2fe4b25bc1987699ec4a882ef43331caf,9915332F21A3845022775B20DB1C905CE47ABBFD3E63A1CFC5455E6DDCAE31285687B2,AgentTesla
00e7635e869d4b4836e924b59a1d76aa077a7db4,42F3904F7295DDD9C4C582B319BBBEA9AA0C5C80B95DFA8E30ED3359CE33D10A25E144,Heodo
0053e6f2d9bf4ad1532eef2500ffef27d7872651,FBB2AE5EE12889CCE27F583D5149EC694208A5E51602F18F31ACF6862B661C39FDF27F,NO_SIG
001d17512131879c273aa454a16a2c9b6fd5320d,0CE42385098B53CD98C2243295770A8A3FE64475D5D2F455DBCF89F680CCAB2E32A71F,AgentTesla
006e354ecb522566700c68a9e554b5dc462f4d41,1C445A4532A03DF5ECA7D679CA974626EFF2BC664630D71F0364165B0F273A1A22E312,CobaltStrike
00c27ecb06e01f1076b47861c437bff5d615233d,A804F48961C0FC46DE5543370AABFEFC62156C817CDEE2862339F679283A15D97E92C0,Heodo
00faaf516a2647aa0d8a3b20978e73494fee4f5e,40D46A1339B3C57BE3A29C710E6E661491A5A9F00FE135CF63A4365C1A319B16BEE13C,Heodo
00f8c07507b31adcdf679ef64b27d26c5f81cbd8,A6B2BF5E9263A898C72B587E800908E1150FFC615582E65F36B5FB9D5ADB2C30FCF18E,Quakbot
0091ababcbe6fcafbe06be5ecd020d1678311950,2A8423BED668A1DFA0E74B1CC7174F19C1A6452884DC5F328CE85A2C9EB04B71DF6263,AgentTesla
0049ff13481914ab846ecaa32f3d3d1ec16a33f4,FED42355869910EAD22E92BDB20386435F9FFE9C3FF2347D892F271C7C21538651E181,Formbook
